ID,ENTRYTYPE,title,author,year,journal,booktitle,volume,number,pages,doi,url,file,abstract,aggregating_evidence,cited_by,colrev.dblp.dblp_key,colrev_pdf_id,colrev_status,curation_id,dblp_key,fulltext,goal_rowe,language,link,literature_review,lr_type_pare_et_al,note,r_agenda,r_agenda_levels,r_gaps,screening_criteria,synthesis,theory_building,topic
AasiRusuHan2014,inproceedings,The Influence of Culture on IT Governance - A Literature Review,"Aasi, Parisa and Rusu, Lazar and Han, Shengnan",2014,,Hawaii International Conference on System Sciences,,,,10.1109/HICSS.2014.546,https://ieeexplore.ieee.org/document/6759148,,,,12,https://dblp.org/rec/conf/hicss/AasiRH14,,rev_synthesized,https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences#AasiRusuHan2014,,,,eng,,,,,,,,,,,
Abbas2014,article,The regulatory considerations and ethical dilemmas of location-based services (LBS),"Abbas, Roba and Michael, Katina and Michael, MG",2014,Information Technology & People,,27,1,2--20,10.1108/ITP-12-2012-0156,,,"<jats:title content-type=""abstract-heading"">Purpose – The purpose of this paper is to comprehensively review existing literature regarding the ethical dilemmas posed by location-based services (LBS) and their impact upon the adoption of a regulatory framework. <jats:title content-type=""abstract-heading"">Design/methodology/approach – This paper employs a qualitative approach for reviewing LBS scholarship, in which existing knowledge is presented in narrative form and is critiqued thematically. <jats:title content-type=""abstract-heading"">Findings – In reviewing contemporary scholarship, the value of technical, social and environmental considerations is demonstrated. This encourages an understanding of the complexities, multiple interests and contextual factors that must be incorporated into the examination of LBS regulation in any social context. <jats:title content-type=""abstract-heading"">Practical implications – Approximately 85 per cent of handsets now have a global positioning system chipset on board. LBS affect a great number of mobile users. This research will create awareness among users of the potential benefits and harms that can come from the (mis)use of the technology. It will also promote an awareness of the complexities surrounding LBS regulation, drawing attention to the importance of collaboration and involvement of LBS stakeholders in the regulatory process. <jats:title content-type=""abstract-heading"">Originality/value – Defines the ethical dilemmas of LBS that influence regulatory choices through a review of applicable literature and proposes that future research simultaneously address technical, social and environmental factors relevant to LBS.",False,42,,,rev_synthesized,,,,Describing,en,,,narrative-review,,False,none,False,,True,True,Other Domain
AbedinMendozaKarunasekera2020,inproceedings,Credible vs Fake - A Literature Review on Differentiating Online Reviews based on Credibility,"Abedin, Ehsan and Mendoza, Antonette and Karunasekera, Shanika",2020,,International Conference on Information Systems,,,,,https://aisel.aisnet.org/icis2020/social_media/social_media/2,,,,,https://dblp.org/rec/conf/icis/AbedinMK20,,rev_synthesized,https://github.com/CoLRev-curations/international-conference-on-information-systems#AbedinMendozaKarunasekera2020,,,,eng,,,,,,,,,,,
Aboulola2017,inproceedings,A Literature Review of Spatial Location Analysis for Retail Site Selection,"Aboulola, Omar Ibrahim",2017,,Americas Conference on Information Systems,,,,,https://aisel.aisnet.org/amcis2017/DataScience/Presentations/9,,,,,https://dblp.org/rec/conf/amcis/Aboulola17,,rev_synthesized,https://github.com/CoLRev-curations/americas-conference-on-information-systems#Aboulola2017,,,,eng,,,,,,,,,,,
AbouzahraGuenterTan2015a,inproceedings,Integrating Information Systems and Healthcare Research to Understand Physicians' use of Health Information Systems - a Literature Review,"Abouzahra, Mohamed and Guenter, Dale and Tan, Joseph",2015,,International Conference on Information Systems,,,,,http://aisel.aisnet.org/icis2015/proceedings/IShealth/12,,,,,https://dblp.org/rec/conf/icis/AbouzahraGT15,,rev_synthesized,https://github.com/CoLRev-curations/international-conference-on-information-systems#AbouzahraGuenterTan2015a,,,,eng,,,,,,,,,,,
AbramovaBaumannKrasnovaEtAl2016,inproceedings,Gender Differences in Online Dating - What Do We Know So Far? A Systematic Literature Review,"Abramova, Olga and Baumann, Annika and Krasnova, Hanna and Buxmann, Peter",2016,,Hawaii International Conference on System Sciences,,,,10.1109/HICSS.2016.481,https://ieeexplore.ieee.org/document/7427665,,,,50,https://dblp.org/rec/conf/hicss/AbramovaBKB16,,rev_synthesized,https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences#AbramovaBaumannKrasnovaEtAl2016,,,,eng,,,,,,,,,,,
AbramovaWagnerKrasnovaEtAl2017,inproceedings,Understanding Self-Disclosure on Social Networking Sites - A Literature Review,"Abramova, Olga and Wagner, Amina and Krasnova, Hanna and Buxmann, Peter",2017,,Americas Conference on Information Systems,,,,,https://aisel.aisnet.org/amcis2017/AdoptionIT/Presentations/30,,,,,https://dblp.org/rec/conf/amcis/AbramovaWKB17,,rev_synthesized,https://github.com/CoLRev-curations/americas-conference-on-information-systems#AbramovaWagnerKrasnovaEtAl2017,,,,eng,,,,,,,,,,,
AdrotPallud2009,inproceedings,Crisis Response and IT Use Literature Review and Suggestions for Future Research,"Adrot, Anouck and Pallud, Jessie",2009,,Americas Conference on Information Systems,,,,,https://aisel.aisnet.org/amcis2009/366,,,,,https://dblp.org/rec/conf/amcis/AdrotP09,,rev_synthesized,https://github.com/CoLRev-curations/americas-conference-on-information-systems#AdrotPallud2009,,,,eng,,,,,,,,,,,
Agarwal2010,article,Research Commentary —The Digital Transformation of Healthcare: Current Status and the Road Ahead,"Agarwal, Ritu and Gao, Guodong (Gordon) and DesRoches, Catherine and Jha, Ashish K.",2010,Information Systems Research,,21,4,796--809,10.1287/ISRE.1100.0327,,,"As the United States expends extraordinary efforts toward the digitization of its health-care system, and as policy makers across the globe look to information technology (IT) as a means of making health-care systems safer, more affordable, and more accessible, a rare and remarkable opportunity has emerged for the information systems research community to leverage its in-depth knowledge to both advance theory and influence practice and policy. Although health IT (HIT) has tremendous potential to improve quality and reduce costs in healthcare, significant challenges need to be overcome to fully realize this potential. In this commentary, we survey the landscape of existing studies on HIT to provide an overview of the current status of HIT research. We then identify three major areas that warrant further research: (1) HIT design, implementation, and meaningful use; (2) measurement and quantification of HIT payoff and impact; and (3) extending the traditional realm of HIT. We discuss specific research questions in each domain and suggest appropriate methods to approach them. We encourage information systems scholars to become active participants in the global discourse on health-care transformation through IT.",False,768,,,rev_synthesized,,,,Understanding,en,,,scoping-review,,True,comprehensive,True,,True,True,Other Domain
Aguirre-Urreta2008,article,Comparing conceptual modeling techniques,"Aguirre-Urreta, Miguel I. and Marakas, George M.",2008,ACM SIGMIS Database: the DATABASE for Advances in Information Systems,,39,2,9--32,10.1145/1364636.1364640,,,"The empirical literature comparing entity relationship and object-oriented modeling techniques, while vibrant, has often yielded equivocal findings. This review employs Norman's (1986) Theory of Action to distinguish between model creation and comprehension studies, and applies and extends the theoretical framework proposed by Gemino and Wand (2004) to highlight and detail several issues that may need further exploration if consistent results in this stream are to be realized. Specifically, this paper explores why and how issues of ontological foundation, training, equivalence of conceptual models, and modeling practices may result in differences between alternative modeling techniques. A comprehensive picture of this literature is provided and a number of potential avenues for future research are proposed.",False,23,,,rev_synthesized,,,,Understanding,en,,,critical-review,,False,partial,True,,True,False,Software Development
AgyeiOwusuMarfoQuansahEtAl2021,inproceedings,The use of interorganizational information systems in digitalizing supply chains - a systematic literature review and research agenda for Africa,"Agyei-Owusu, Benjamin and Marfo, John Serbe and Quansah, Emmanuel Kweku and Kumi, Caleb Amankwaa",2021,,Americas Conference on Information Systems,,,,,https://aisel.aisnet.org/amcis2021/global_develop/global_develop/11,,,,,https://dblp.org/rec/conf/amcis/Agyei-OwusuMQK21,,rev_synthesized,https://github.com/CoLRev-curations/americas-conference-on-information-systems#AgyeiOwusuMarfoQuansahEtAl2021,,,,eng,,,,,,,,,,,
